"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"15" "01007" "Belchertown" "Massachusetts" "MA" "Hampshire" "42.2751" "-72.411"
"16" "01008" "Blandford" "Massachusetts" "MA" "Hampden" "42.1829" "-72.9361"
"17" "01009" "Bondsville" "Massachusetts" "MA" "Hampden" "42.2061" "-72.3405"
"18" "01010" "Brimfield" "Massachusetts" "MA" "Hampden" "42.1165" "-72.1885"
"19" "01011" "Chester" "Massachusetts" "MA" "Hampden" "42.2794" "-72.9888"
"20" "01012" "Chesterfield" "Massachusetts" "MA" "Hampshire" "42.3923" "-72.8256"
"21" "01013" "Chicopee" "Massachusetts" "MA" "Hampden" "42.1596" "-72.6082"
"22" "01014" "Chicopee" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"23" "01020" "Chicopee" "Massachusetts" "MA" "Hampden" "42.1764" "-72.5761"
"24" "01021" "Chicopee" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"25" "01022" "Chicopee" "Massachusetts" "MA" "Hampden" "42.1934" "-72.5544"
"26" "01026" "Cummington" "Massachusetts" "MA" "Hampshire" "42.4633" "-72.9202"
"27" "01027" "Easthampton" "Massachusetts" "MA" "Hampshire" "42.3683" "-72.7688"
"28" "01028" "East Longmeadow" "Massachusetts" "MA" "Hampden" "42.0672" "-72.5056"
"29" "01029" "East Otis" "Massachusetts" "MA" "Berkshire" "42.1909" "-73.0517"
"30" "01030" "Feeding Hills" "Massachusetts" "MA" "Hampden" "42.0718" "-72.6751"
"31" "01031" "Gilbertville" "Massachusetts" "MA" "Worcester" "42.3322" "-72.1986"
"32" "01032" "Goshen" "Massachusetts" "MA" "Hampshire" "42.4662" "-72.8441"
"33" "01033" "Granby" "Massachusetts" "MA" "Hampshire" "42.2557" "-72.52"
"34" "01034" "Granville" "Massachusetts" "MA" "Hampden" "42.1127" "-72.952"
"35" "01035" "Hadley" "Massachusetts" "MA" "Hampshire" "42.3606" "-72.5715"
"36" "01036" "Hampden" "Massachusetts" "MA" "Hampden" "42.0648" "-72.4318"
"37" "01037" "Hardwick" "Massachusetts" "MA" "Worcester" "42.3479" "-72.2253"
"38" "01038" "Hatfield" "Massachusetts" "MA" "Hampshire" "42.3844" "-72.6167"
"39" "01039" "Haydenville" "Massachusetts" "MA" "Hampshire" "42.3818" "-72.7032"
"40" "01040" "Holyoke" "Massachusetts" "MA" "Hampden" "42.202" "-72.6262"
"41" "01041" "Holyoke" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"42" "01050" "Huntington" "Massachusetts" "MA" "Hampshire" "42.2653" "-72.8733"
"43" "01053" "Leeds" "Massachusetts" "MA" "Hampshire" "42.3543" "-72.7034"
"44" "01054" "Leverett" "Massachusetts" "MA" "Franklin" "42.4682" "-72.4993"
"45" "01056" "Ludlow" "Massachusetts" "MA" "Hampden" "42.1728" "-72.471"
"46" "01057" "Monson" "Massachusetts" "MA" "Hampden" "42.101" "-72.3196"
"47" "01059" "North Amherst" "Massachusetts" "MA" "Hampshire" "42.3696" "-72.636"
"48" "01060" "Northampton" "Massachusetts" "MA" "Hampshire" "42.3223" "-72.6313"
"49" "01061" "Northampton" "Massachusetts" "MA" "Hampshire" "42.3696" "-72.636"
"50" "01062" "Florence" "Massachusetts" "MA" "Hampshire" "42.3219" "-72.6928"
"51" "01063" "Northampton" "Massachusetts" "MA" "Hampshire" "42.3179" "-72.6402"
"52" "01066" "North Hatfield" "Massachusetts" "MA" "Hampshire" "42.4067" "-72.6339"
